isin,s_date,close,p_price,r_price,p_rate,r_rate,predict,correct,error
000020,2023-07-07,10100,10098,9840.0,-0.02,-2.57,0,1,2.62
000040,2023-07-07,554,560,558.0,1.08,0.72,0,0,0.36
000050,2023-07-07,9840,9860,9470.0,0.2,-3.76,0,1,4.12
000070,2023-07-07,71000,70960,70100.0,-0.06,-1.27,0,1,1.23
000075,2023-07-07,53100,53049,53500.0,-0.1,0.75,0,0,0.84
000080,2023-07-07,20750,20745,20800.0,-0.02,0.24,0,0,0.26
000087,2023-07-07,16170,16165,16020.0,-0.03,-0.93,0,1,0.91
000100,2023-07-07,56700,56659,56600.0,-0.07,-0.18,0,1,0.1
000105,2023-07-07,54000,53974,53800.0,-0.05,-0.37,0,1,0.32
000120,2023-07-07,69800,69753,70800.0,-0.07,1.43,0,0,1.48
000140,2023-07-07,9160,9162,9150.0,0.02,-0.11,0,1,0.13
000145,2023-07-07,12290,12289,12260.0,-0.01,-0.24,0,1,0.24
000150,2023-07-07,85500,85437,86600.0,-0.07,1.29,0,0,1.34
000155,2023-07-07,50200,50174,51000.0,-0.05,1.59,0,0,1.62
000157,2023-07-07,86000,85957,85500.0,-0.05,-0.58,0,1,0.53
000180,2023-07-07,2025,2030,2040.0,0.25,0.74,0,0,0.49
000210,2023-07-07,37050,37019,37600.0,-0.08,1.48,0,0,1.55
000215,2023-07-07,22250,22237,22700.0,-0.06,2.02,0,0,2.04
000220,2023-07-07,5070,5082,5060.0,0.24,-0.2,0,1,0.43
000225,2023-07-07,5540,5541,5240.0,0.02,-5.42,0,1,5.74
000227,2023-07-07,11840,11850,11840.0,0.08,0.0,0,1,0.08
000230,2023-07-07,8320,8313,8320.0,-0.08,0.0,0,1,0.08
000240,2023-07-07,11860,11850,11870.0,-0.08,0.08,0,0,0.17
000270,2023-07-07,87900,87856,87500.0,-0.05,-0.46,0,1,0.41
000300,2023-07-07,1009,1026,991.0,1.68,-1.78,0,1,3.53
000320,2023-07-07,10250,10257,10300.0,0.07,0.49,0,0,0.42
000325,2023-07-07,20500,20508,20050.0,0.04,-2.2,0,1,2.28
000370,2023-07-07,3850,3844,3965.0,-0.16,2.99,0,0,3.05
000390,2023-07-07,6250,6265,6590.0,0.24,5.44,0,0,4.93
000400,2023-07-07,1766,1772,1768.0,0.34,0.11,0,0,0.23
000430,2023-07-07,6340,6380,6620.0,0.63,4.42,0,0,3.63
000480,2023-07-07,21200,21019,21200.0,-0.85,0.0,0,1,0.85
000490,2023-07-07,11490,11496,11440.0,0.05,-0.44,0,1,0.49
000500,2023-07-07,20750,20774,20250.0,0.12,-2.41,0,1,2.59
000520,2023-07-07,7300,7294,7520.0,-0.08,3.01,0,0,3.01
000540,2023-07-07,3060,3060,3035.0,0.0,-0.82,0,1,0.82
000545,2023-07-07,5410,5400,5300.0,-0.18,-2.03,0,1,1.89
000547,2023-07-07,9960,10042,7010.0,0.82,-29.62,0,1,43.25
000590,2023-07-07,57900,57890,58700.0,-0.02,1.38,0,0,1.38
000640,2023-07-07,79000,78911,78200.0,-0.11,-1.01,0,1,0.91
000650,2023-07-07,51200,51195,52200.0,-0.01,1.95,0,0,1.93
000660,2023-07-07,111800,111778,110300.0,-0.02,-1.34,0,1,1.34
000670,2023-07-07,529000,528575,529000.0,-0.08,0.0,0,1,0.08
000680,2023-07-07,2820,2843,2800.0,0.82,-0.71,0,1,1.54
000700,2023-07-07,6060,6069,6000.0,0.15,-0.99,0,1,1.15
000720,2023-07-07,34650,34625,35850.0,-0.07,3.46,0,0,3.42
000725,2023-07-07,60900,60863,61100.0,-0.06,0.33,0,0,0.39
000760,2023-07-07,18950,18934,19710.0,-0.08,4.01,0,0,3.94
000810,2023-07-07,222000,221905,232500.0,-0.04,4.73,0,0,4.56
000815,2023-07-07,169000,168953,172500.0,-0.03,2.07,0,0,2.06
000850,2023-07-07,37400,37362,37200.0,-0.1,-0.53,0,1,0.44
000860,2023-07-07,22050,22055,22700.0,0.02,2.95,0,0,2.84
000880,2023-07-07,28650,28628,29050.0,-0.08,1.4,0,0,1.45
000885,2023-07-07,32250,32230,32650.0,-0.06,1.24,0,0,1.29
00088K,2023-07-07,14390,14385,14450.0,-0.03,0.42,0,0,0.45
000890,2023-07-07,588,599,587.0,1.87,-0.17,0,1,2.04
000910,2023-07-07,6780,6753,6490.0,-0.4,-4.28,0,1,4.05
000950,2023-07-07,27500,27497,27000.0,-0.01,-1.82,0,1,1.84
000970,2023-07-07,7360,7361,7350.0,0.01,-0.14,0,1,0.15
000990,2023-07-07,58900,58871,58100.0,-0.05,-1.36,0,1,1.33
000995,2023-07-07,29100,29240,26850.0,0.48,-7.73,0,1,8.9
001020,2023-07-07,1139,1159,1141.0,1.76,0.18,0,0,1.58
001040,2023-07-07,60600,60568,61400.0,-0.05,1.32,0,0,1.36
001045,2023-07-07,41600,41577,42350.0,-0.06,1.8,0,0,1.83
00104K,2023-07-07,52900,52842,54100.0,-0.11,2.27,0,0,2.33
001060,2023-07-07,23850,23835,26900.0,-0.06,12.79,0,0,11.39
001065,2023-07-07,29900,29920,30900.0,0.07,3.34,0,0,3.17
001067,2023-07-07,61000,61006,62000.0,0.01,1.64,0,0,1.6
001070,2023-07-07,13410,13412,13200.0,0.01,-1.57,0,1,1.61
001080,2023-07-07,38800,38824,37950.0,0.06,-2.19,0,1,2.3
001120,2023-07-07,34750,34718,33100.0,-0.09,-4.75,0,1,4.89
001130,2023-07-07,128600,128545,127700.0,-0.04,-0.7,0,1,0.66
001140,2023-07-07,7350,7399,7460.0,0.67,1.5,0,0,0.82
001200,2023-07-07,4260,4273,4125.0,0.31,-3.17,0,1,3.59
001210,2023-07-07,1068,1060,1162.0,-0.75,8.8,0,0,8.78
001230,2023-07-07,17690,17745,17440.0,0.31,-1.41,0,1,1.75
001250,2023-07-07,2730,2749,2725.0,0.7,-0.18,0,1,0.88
001260,2023-07-07,9100,9093,10050.0,-0.08,10.44,0,0,9.52
001270,2023-07-07,21450,21448,21350.0,-0.01,-0.47,0,1,0.46
001275,2023-07-07,18830,18825,18810.0,-0.03,-0.11,0,1,0.08
001290,2023-07-07,780,790,762.0,1.28,-2.31,0,1,3.67
001340,2023-07-07,7790,7815,7870.0,0.32,1.03,0,0,0.7
001360,2023-07-07,2920,2920,2930.0,0.0,0.34,0,0,0.34
001380,2023-07-07,1327,1337,1341.0,0.75,1.06,0,0,0.3
001390,2023-07-07,49300,49290,48250.0,-0.02,-2.13,0,1,2.16
001420,2023-07-07,4800,4783,5000.0,-0.35,4.17,0,0,4.34
001430,2023-07-07,25350,25330,26150.0,-0.08,3.16,0,0,3.14
001440,2023-07-07,13310,13311,13850.0,0.01,4.06,0,0,3.89
001450,2023-07-07,29800,29782,30600.0,-0.06,2.68,0,0,2.67
001460,2023-07-07,400000,399851,402000.0,-0.04,0.5,0,0,0.53
001465,2023-07-07,144900,144877,144800.0,-0.02,-0.07,0,1,0.05
001470,2023-07-07,3910,3895,4940.0,-0.38,26.34,0,0,21.15
001500,2023-07-07,8480,8475,8470.0,-0.06,-0.12,0,1,0.06
001510,2023-07-07,663,675,663.0,1.81,0.0,0,1,1.81
001515,2023-07-07,2430,2450,2400.0,0.82,-1.23,0,1,2.08
001520,2023-07-07,1026,1039,1004.0,1.27,-2.14,0,1,3.49
001525,2023-07-07,5880,5884,5930.0,0.07,0.85,0,0,0.78
001527,2023-07-07,12270,12273,12380.0,0.02,0.9,0,0,0.86
001530,2023-07-07,20250,20268,20450.0,0.09,0.99,0,0,0.89
001550,2023-07-07,14430,14431,14450.0,0.01,0.14,0,0,0.13
001560,2023-07-07,8110,8103,8050.0,-0.09,-0.74,0,1,0.66
001570,2023-07-07,83000,83105,86900.0,0.13,4.7,0,0,4.37
001620,2023-07-07,630,631,629.0,0.16,-0.16,0,1,0.32
001630,2023-07-07,47950,47943,47400.0,-0.01,-1.15,0,1,1.15
001680,2023-07-07,16480,16477,16450.0,-0.02,-0.18,0,1,0.16
001685,2023-07-07,14030,14032,13950.0,0.01,-0.57,0,1,0.59
001720,2023-07-07,56000,55960,55400.0,-0.07,-1.07,0,1,1.01
001725,2023-07-07,55200,55192,55300.0,-0.01,0.18,0,0,0.2
001740,2023-07-07,5050,5057,5170.0,0.14,2.38,0,0,2.19
001745,2023-07-07,18900,19225,11600.0,1.72,-38.62,0,1,65.73
001750,2023-07-07,8800,8804,8790.0,0.05,-0.11,0,1,0.16
001755,2023-07-07,12360,12354,12170.0,-0.05,-1.54,0,1,1.51
001770,2023-07-07,25150,25142,24950.0,-0.03,-0.8,0,1,0.77
001780,2023-07-07,4980,4976,4885.0,-0.08,-1.91,0,1,1.86
001790,2023-07-07,3275,3282,3290.0,0.21,0.46,0,0,0.24
001795,2023-07-07,2780,2793,2835.0,0.47,1.98,0,0,1.48
001800,2023-07-07,14060,14055,14140.0,-0.04,0.57,0,0,0.6
001820,2023-07-07,41900,41866,41850.0,-0.08,-0.12,0,1,0.04
001880,2023-07-07,13150,13151,13220.0,0.01,0.53,0,0,0.52
001940,2023-07-07,18450,18459,18000.0,0.05,-2.44,0,1,2.55
002020,2023-07-07,18870,18860,18920.0,-0.05,0.26,0,0,0.32
002025,2023-07-07,14300,14293,14170.0,-0.05,-0.91,0,1,0.87
002030,2023-07-07,140200,140069,140900.0,-0.09,0.5,0,0,0.59
002070,2023-07-07,1651,1658,1680.0,0.42,1.76,0,0,1.31
002100,2023-07-07,9810,9814,9910.0,0.04,1.02,0,0,0.97
002140,2023-07-07,3885,3885,3940.0,0.0,1.42,0,0,1.4
002150,2023-07-07,8580,8592,9040.0,0.14,5.36,0,0,4.96
002170,2023-07-07,50100,50095,50000.0,-0.01,-0.2,0,1,0.19
002200,2023-07-07,3050,3072,2970.0,0.72,-2.62,0,1,3.43
002210,2023-07-07,5910,5924,5930.0,0.24,0.34,0,0,0.1
002220,2023-07-07,3260,3266,3330.0,0.18,2.15,0,0,1.92
002240,2023-07-07,18890,18898,18970.0,0.04,0.42,0,0,0.38
002310,2023-07-07,33700,33688,34300.0,-0.04,1.78,0,0,1.78
002320,2023-07-07,19020,18998,18960.0,-0.12,-0.32,0,1,0.2
002350,2023-07-07,8620,8630,8400.0,0.12,-2.55,0,1,2.74
002355,2023-07-07,2995,3007,2945.0,0.4,-1.67,0,1,2.11
002360,2023-07-07,706,726,704.0,2.83,-0.28,0,1,3.12
002380,2023-07-07,189500,189330,191300.0,-0.09,0.95,0,0,1.03
002390,2023-07-07,13900,13891,13770.0,-0.06,-0.94,0,1,0.88
002410,2023-07-07,2955,2974,3150.0,0.64,6.6,0,0,5.59
002420,2023-07-07,7250,7256,7300.0,0.08,0.69,0,0,0.6
002450,2023-07-07,1197,1211,1198.0,1.17,0.08,0,0,1.09
002460,2023-07-07,9770,9764,9870.0,-0.06,1.02,0,0,1.07
002600,2023-07-07,198200,198148,202000.0,-0.03,1.92,0,0,1.91
002620,2023-07-07,12960,12959,12700.0,-0.01,-2.01,0,1,2.04
002630,2023-07-07,680,686,665.0,0.88,-2.21,0,1,3.16
002690,2023-07-07,2130,2143,2125.0,0.61,-0.23,0,1,0.85
002700,2023-07-07,1818,1818,1780.0,0.0,-2.09,0,1,2.13
002710,2023-07-07,41600,41612,43750.0,0.03,5.17,0,0,4.89
002720,2023-07-07,3935,3946,3995.0,0.28,1.52,0,0,1.23
002760,2023-07-07,1605,1624,1598.0,1.18,-0.44,0,1,1.63
002780,2023-07-07,1243,1248,1268.0,0.4,2.01,0,0,1.58
002785,2023-07-07,5250,5262,5130.0,0.23,-2.29,0,1,2.57
002787,2023-07-07,12200,12203,12210.0,0.02,0.08,0,0,0.06
002790,2023-07-07,25150,25135,25050.0,-0.06,-0.4,0,1,0.34
002795,2023-07-07,10000,10000,9910.0,0.0,-0.9,0,1,0.91
00279K,2023-07-07,19230,19219,19250.0,-0.06,0.1,0,0,0.16
002810,2023-07-07,13000,13006,13040.0,0.05,0.31,0,0,0.26
002820,2023-07-07,2695,2711,2690.0,0.59,-0.19,0,1,0.78
002840,2023-07-07,171300,171210,168800.0,-0.05,-1.46,0,1,1.43
002870,2023-07-07,1005,1007,1010.0,0.2,0.5,0,0,0.3
002880,2023-07-07,658,671,656.0,1.98,-0.3,0,1,2.29
002900,2023-07-07,7170,7169,7300.0,-0.01,1.81,0,0,1.79
